MSOA01NAME,DrugCrimes,Total_Population,Employment_DS,Income_DS,LONG,LAT
Merthyr Tydfil 006,6,8340,0.144,0.139,-3.14543,51.8928
Merthyr Tydfil 007,14,8241,0.076,0.068,-3.34436,51.7068
Caerphilly 001,23,8845,0.239,0.238,-3.31139,51.6664
Caerphilly 002,11,7573,0.175,0.181,-3.2989,51.7646
Caerphilly 003,8,5704,0.248,0.306,-3.27042,51.7079
Caerphilly 004,18,6196,0.352,0.434,-3.22467,51.6881
Caerphilly 005,8,5715,0.245,0.309,-3.239,51.689
Caerphilly 006,12,9429,0.228,0.274,-3.19526,51.7059
Caerphilly 007,13,7742,0.146,0.155,-3.15507,51.6912
Caerphilly 008,15,7817,0.18,0.175,-3.21577,51.6662
Blaenau Gwent 001,15,7100,0.102,0.089,-3.25495,51.6683
Blaenau Gwent 002,10,5530,0.136,0.139,-3.22084,51.8035
Blaenau Gwent 003,26,7125,0.225,0.23,-3.16831,51.8044
Blaenau Gwent 004,23,7671,0.2,0.209,-3.2694,51.7984
Blaenau Gwent 005,19,9443,0.162,0.158,-3.21263,51.7865
Blaenau Gwent 006,32,7978,0.169,0.164,-3.15983,51.7675
Blaenau Gwent 007,17,8569,0.248,0.309,-3.24038,51.7591
Blaenau Gwent 008,31,9119,0.201,0.219,-3.18769,51.7543
Blaenau Gwent 009,19,7279,0.207,0.21,-3.13771,51.75
Torfaen 001,10,6055,0.113,0.154,-3.13217,51.7113
Torfaen 002,14,7064,0.228,0.236,-3.09087,51.7766
Torfaen 004,33,9008,0.202,0.234,-3.06823,51.7377
Monmouthshire 003,8,7665,0.098,0.102,-3.06912,51.6967
Herefordshire 001,0,6043,0.047,0.046,-3.08244,51.8146
Herefordshire 006,0,7875,0.046,0.077,-2.87003,52.3206
Herefordshire 020,0,6073,0.098,0.086,-3.01374,52.1844
Chester 002,0,5595,0.05,0.052,-2.97857,52.0171
Chester 016,0,7496,0.045,0.052,-2.94217,53.2407
Ellesmere Port & Neston 001,0,7636,0.153,0.186,-2.80189,53.1454
Ellesmere Port & Neston 002,0,5332,0.039,0.022,-3.05829,53.298
Ellesmere Port & Neston 004,0,6772,0.053,0.041,-3.01203,53.2777
North Shropshire 003,0,7463,0.073,0.084,-3.0543,53.2823
Oswestry 001,0,9722,0.109,0.08,-2.89687,52.8953
Oswestry 004,0,6992,0.044,0.05,-3.05276,52.9093
